ordinal,guid,account,name,race,class,gender,talent_path,role,profession_pair,selection_reason,source_candidate_hash
153,20,273,Amanuele,9,9,1,affliction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
154,226,487,Rellaar,4,11,0,bear,TANK,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
155,165,14,Yoviwet,6,1,0,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
156,127,12,Rilenia,1,2,1,protection,TANK,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
157,45,47,Estellia,1,3,1,marksmanship,DPS,Mining/Engineering,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
158,47,7,Keeckezz,7,4,0,subtlety,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
159,173,166,Riley,5,5,1,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
160,398,388,Anumdest,2,7,0,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
161,33,6,Branon,10,8,0,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
162,42,47,Juxe,7,9,1,affliction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
163,234,487,Nythadon,4,11,0,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
164,185,15,Emerineva,1,1,1,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
165,22,273,Esmerita,10,2,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
166,49,7,Natarinia,10,3,1,marksmanship,DPS,Mining/Engineering,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
167,73,292,Icamer,9,4,0,assassination,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
168,210,209,Timeron,5,5,0,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
169,414,28,Pilgito,6,7,1,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
170,36,6,Larisca,9,8,1,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
171,48,7,Caramaston,9,9,0,demonology,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
172,241,18,Melinne,4,11,1,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
173,266,260,Inne,6,1,0,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
174,53,7,Tibal,10,2,0,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
175,70,8,Dellaemou,3,3,1,marksmanship,DPS,Mining/Engineering,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
176,91,94,Saemulzi,8,4,1,assassination,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
177,218,17,Larinne,1,5,1,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
178,501,447,Brist,2,7,0,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
179,85,299,Ivando,10,8,0,fire,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
180,59,282,Tannie,5,9,1,demonology,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
181,300,22,Carshu,6,11,1,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
182,271,386,Ihlzurn,2,1,0,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
183,181,15,Gunug,3,2,0,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
184,74,292,Tudrol,4,3,0,marksmanship,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
185,114,11,Gerollo,1,4,0,combat,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
186,235,18,Celenella,1,5,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
187,934,490,Rokdomm,2,7,0,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
188,94,94,Clarco,10,8,0,frost,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
189,115,11,Lekos,7,9,1,demonology,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
190,302,22,Unhwo,6,11,0,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
191,452,31,Brorriggs,3,1,0,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
192,197,350,Geronica,1,2,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
193,76,292,Cariona,1,3,1,marksmanship,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
194,228,487,Aimlamdi,3,4,1,combat,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
195,250,441,Deleri,5,5,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
196,970,396,Satoru,2,7,1,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
197,100,405,Daral,5,8,0,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
198,213,209,Redaristo,5,9,0,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
199,343,267,Vinacanna,4,11,1,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
200,453,31,Natarinne,5,1,1,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
201,207,16,Brinerie,1,2,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
202,86,299,Zelzehdi,8,3,1,beastmastery,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
203,237,18,Iwarrett,1,4,0,subtlety,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
204,265,260,Oloss,3,5,1,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
205,1168,291,Dinne,8,7,1,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
206,110,11,Kaileni,1,8,1,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
207,248,441,Tezet,2,9,1,affliction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
208,344,267,Shadris,4,11,1,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
209,655,276,Charnard,5,1,0,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
210,225,17,Gysa,3,2,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
211,124,114,Rontoh,8,3,1,survival,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
212,645,43,Jarduggs,3,4,0,subtlety,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
213,288,21,Nizmen,8,5,1,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
214,1169,291,Juvo,8,7,0,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
215,121,114,Giney,1,8,1,fire,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
216,286,21,Reverona,1,9,1,affliction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
217,469,32,Iolgie,6,11,1,restoration,HEALER,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
218,2051,124,Atojan,8,1,1,protection,TANK,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
219,216,209,Vanestra,1,2,1,retribution,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
220,238,18,Tahdu,2,3,1,beastmastery,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
221,873,57,Trihlurist,2,4,0,assassination,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
222,289,446,Gery,5,5,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
223,1195,75,Huhrur,8,7,1,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
224,131,12,Pemlick,7,8,0,fire,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
225,322,23,Lymke,7,9,1,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
226,491,33,Ansedoovah,6,11,0,restoration,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
227,2120,128,Zhehdi,8,1,1,protection,TANK,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
228,263,260,Zebla,6,3,1,beastmastery,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
229,983,286,Umdank,2,4,0,assassination,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
230,323,23,Lataria,4,5,1,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
231,145,13,Adamelin,5,8,0,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
232,374,26,Ketkee,7,9,1,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
233,347,267,Nynyae,4,11,1,balance,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
234,245,441,Amellie,1,1,1,arms,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
235,357,25,Avelsuso,6,3,0,survival,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
236,1372,297,Grotdontut,2,4,1,combat,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
237,417,269,Chadas,4,5,0,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
238,174,166,Fykoxu,7,8,1,frost,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
239,380,268,Eldamas,1,9,0,affliction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
240,348,267,Ryalyssa,4,11,1,balance,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
241,318,23,Kruth,2,1,0,arms,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
242,364,475,Kruhlmuk,2,3,0,survival,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
243,427,29,Velanie,5,5,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
244,229,487,Astorton,5,8,0,fire,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
245,392,27,Boscarad,1,9,0,demonology,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
246,373,26,Nelaei,4,11,1,feral,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
247,395,27,Noje,6,1,0,fury,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
248,448,270,Krach,2,3,0,survival,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
249,652,276,Shihjal,8,5,0,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
250,269,260,Nicata,1,8,1,fire,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
251,419,269,Gwenne,1,9,1,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
252,413,28,Moristra,4,11,1,feral,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
253,451,31,Pandra,1,1,1,fury,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
254,658,44,Onchun,8,5,0,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
255,315,266,Attian,1,8,0,frost,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
256,446,270,Rolander,1,9,0,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
257,588,39,Deskovich,6,11,0,balance,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
258,458,31,Talozthe,2,1,1,fury,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
259,823,54,Golimle,3,5,1,holy,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
260,354,25,Vlarin,1,8,0,frost,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
261,463,389,Soznawzy,2,9,1,demonology,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
262,590,39,Dodrach,6,11,0,balance,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
263,547,36,Odig,3,1,0,arms,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
264,257,19,Nelis,1,5,1,shadow,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
265,370,26,Calastoren,5,8,0,frost,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
266,464,389,Shasom,2,9,1,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
267,698,392,Biatiozi,6,11,1,feral,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
268,815,281,Barenevan,5,1,0,fury,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
269,522,272,Alasteric,5,5,0,shadow,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
270,718,48,Ronri,8,8,0,fire,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
271,477,32,Yamona,1,9,1,destruction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
272,717,48,Zoboia,6,11,1,feral,DPS,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
